n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
5000,0.1,2,original,0.49631854655302676,0.3327925578768671,0.32947789239765696,0.49631854655302676,0.3373680008313879,0.3202591295964326,15,298710.0,600.0082728862762
5000,0.1,2,opt,inf,-inf,,0.49631854655302676,0.4963185465530267,1.118458127684072e-16,15,1.0,0.7166118621826172
10000,0.1,2,original,0.5000095408005296,0.4118159079748311,0.1763838999641847,0.5000095408005296,0.41420972686628565,0.17159635353532654,9,130680.0,600.0146861076355
10000,0.1,2,opt,inf,-inf,,0.5000095408005296,0.5000095408005294,4.4408073607861866e-16,9,1.0,1.5095150470733643
100,0.1,3,original,0.291102636785768,0.12040477949320272,0.5863837551502065,0.28951169162426105,0.23726024918597338,0.18048128607566397,14,16580521.0,600.0040109157562
100,0.1,3,opt,inf,-inf,,0.289511691624261,0.2895116916242609,3.8348123987546765e-16,14,1.0,0.06784796714782715
200,0.1,3,original,0.35198616690113016,0.12610883781919724,0.6417221763870621,0.35076385659673986,0.2095732422913477,0.40252326928801496,26,10195806.0,600.0041539669037
200,0.1,3,opt,inf,-inf,,0.3507638565967399,0.35076385659674103,-3.165157993748308e-15,26,1.0,0.13699603080749512
300,0.1,3,original,0.38465187293701164,0.17828069298334032,0.5365141689755023,0.3829332478457612,0.23638221347201913,0.38270647742963876,23,7284281.0,600.0069830417633
300,0.1,3,opt,inf,-inf,,0.38293324784576116,0.3829077101842584,6.668959053941302e-05,23,1.0,0.1316831111907959
500,0.1,3,original,0.3921536793796305,0.19522636052428297,0.5021687394770278,0.39116482148256015,0.23528273997218213,0.39850741413700447,31,5397037.0,600.0042989253998
500,0.1,3,opt,inf,-inf,,0.39116482148297266,0.3911648214829755,-7.237534045267885e-15,31,1.0,0.1195991039276123
1000,0.1,3,original,0.4586276825761104,0.21576829727760866,0.5295349463738457,0.4586276825761104,0.24039649848787462,0.4758351760679422,28,2213975.0,600.0045020580292
1000,0.1,3,opt,inf,-inf,,0.45862768257611036,0.45862768257611036,0.0,28,1.0,0.22065997123718262
2000,0.1,3,original,0.476337634101113,0.302423942080765,0.36510592397037234,0.476337634101113,0.31480077482958885,0.33912260486483936,31,1086303.0,600.0042181015015
2000,0.1,3,opt,inf,-inf,,0.476337634101113,0.476337634101113,0.0,31,0.0,0.32512712478637695
5000,0.1,3,original,0.4988071745649216,0.3559577293816833,0.28638209806792964,0.4988071745649216,0.361001623249456,0.2762701868425705,14,316423.0,600.0130879878998
5000,0.1,3,opt,inf,-inf,,0.4988071745649216,0.4988071745649216,0.0,14,1.0,0.9386448860168457
10000,0.1,3,original,0.49487006360607005,0.4018803555073698,0.18790732141098476,0.49487006360607005,0.404215940420097,0.18318772916952233,7,123458.0,600.0156240463257
10000,0.1,3,opt,inf,-inf,,0.49487006360586755,0.49487006360586727,5.608659253580241e-16,7,1.0,1.7189290523529053
100,0.1,4,original,0.302892744432362,0.12515356017022866,0.5868056846169312,0.29920535401640225,0.25960198387023004,0.13236183649307687,16,22168154.0,600.0064761638641
100,0.1,4,opt,inf,-inf,,0.29920535401640247,0.29920535401640236,3.71057205267889e-16,16,1.0,0.05477190017700195
200,0.1,4,original,0.28606981173255425,0.12126945258658707,0.5760844115213335,0.28606981173255425,0.20330172796477322,0.28932827013974005,12,12991951.0,600.0023620128632
200,0.1,4,opt,inf,-inf,,0.2860698117325543,0.2860698117325543,0.0,12,1.0,0.07472109794616699
300,0.1,4,original,0.36259956104888236,0.1827573532722254,0.4959802137002926,0.36259956104888236,0.2410143643766743,0.33531534434432764,22,9197087.0,600.0025880336761
300,0.1,4,opt,inf,-inf,,0.3625995610488822,0.3625995610488822,0.0,22,1.0,0.06857013702392578
500,0.1,4,original,0.41333559785428836,0.18633041317338464,0.5492030830621296,0.41333559785428836,0.2269719290505742,0.45087737366722586,34,6005779.0,600.002063035965
500,0.1,4,opt,inf,-inf,,0.4133355855834345,0.41333558558343464,-4.029013215949141e-16,35,1.0,0.12439489364624023
1000,0.1,4,original,0.4552107417962549,0.225942911084197,0.5036520663097062,0.4552107417962549,0.24782814691693658,0.4555749147328766,27,2513902.0,600.002917766571
1000,0.1,4,opt,0.4552107417962549,0.4551379003277598,0.000160017024659151,0.45521074179625487,0.4552107417962549,-1.2194604857568088e-16,27,1.0,0.13870906829833984
2000,0.1,4,original,0.4694872226547595,0.26676700161690503,0.43179070964179594,0.4694872226547595,0.2810725576026924,0.40132011258295536,40,1449193.0,600.0026547908783
2000,0.1,4,opt,inf,-inf,,0.4694872226546096,0.46944622385860946,8.73267557066847e-05,40,1.0,0.24613285064697266
5000,0.1,4,original,0.4935191354081718,0.3369289635160977,0.3172930098496871,0.4935191354081718,0.3421684404523498,0.3066764469642,19,366459.0,600.010330915451
5000,0.1,4,opt,inf,-inf,,0.4935191354081718,0.4935191354081718,0.0,19,1.0,0.6638760566711426
10000,0.1,4,original,0.498635302314299,0.4033489349581659,0.19109430662827873,0.498635302314299,0.40590194045337386,0.18597432117326018,7,164019.0,600.0194380283356
10000,0.1,4,opt,inf,-inf,,0.498635302314299,0.4986353023142992,-4.45304622224827e-16,7,1.0,1.547494888305664
