,m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
61,2,70,autompg,no_cut,9.62722652634552,-18.631488120183548,2.9352913395355653,9.119022158567617,9.119022158567617,0.0,1861.0,3.715646982192993
62,2,70,autompg,cut,9.627226497872524,9.106699411316885,0.05406822896196194,9.119022204664653,9.11811038619117,9.999081623210352e-05,2508.0,1.3703358173370361
63,2,80,autompg,original,12.520441358764508,6.500509930376915,0.4808082443654069,12.520441358764508,12.520441358764508,0.0,3308.0,0.22794413566589355
64,2,80,autompg,no_cut,12.520442544151752,-87.82530189043953,8.014552527255706,12.520441358802184,12.520441358802184,0.0,5641.0,13.60275411605835
65,2,80,autompg,cut,15.725216435118138,12.518915890724696,0.20389547944364145,12.520445556079125,12.519157849342909,0.0001028483156168977,144259.0,300.0304341316223
66,2,90,autompg,original,14.50332824770404,7.506565033896388,0.4824246610370471,14.50332824770404,14.50332824770404,0.0,9379.0,0.49767303466796875
67,2,90,autompg,no_cut,18.772176182039647,-124.93916355257569,7.655550339023119,14.503328252792127,14.503328252792127,0.0,10811.0,29.6406569480896
68,2,90,autompg,cut,18.772176083946206,14.493307192646252,0.2279367544905571,14.503328249917878,14.497541978939465,0.0003989615954838723,156023.0,300.0214309692383
69,2,100,autompg,original,15.897551495231859,8.16393424471099,0.48646593488565876,15.897551495231859,15.897551495231859,0.0,18325.0,1.2390639781951904
70,2,100,autompg,no_cut,20.493922953880215,-184.22376897615538,9.989190082871634,15.897551497260892,15.897551497260892,0.0,25756.0,88.86845898628235
71,2,100,autompg,cut,19.012926298034273,15.892493458047312,0.16412165024326525,15.897551497559185,15.892687356363188,0.0003059679471233959,138151.0,300.0357520580292
72,2,120,autompg,original,22.831231342502825,10.947093968868826,0.5205210877746389,22.831231342502825,22.831231342502825,0.0,695865.0,30.11357092857361
73,2,120,autompg,no_cut,30.251580370257017,-207.78774594605176,7.868657551205032,22.831231342569822,19.169988802616707,0.16036115113627572,57281.0,300.00537610054016
74,2,120,autompg,cut,30.25158029617655,22.816035710322595,0.24579028642658118,22.831231967496805,22.81861194924249,0.000552752399532356,138044.0,300.00762391090393
