n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
2000,0.2,1,original,0.423711515780448,0.40820125418664205,0.036605711707497775,0.4094837121154795,0.4094436070216294,9.794063271263086e-05,157,7378.0,14.125232934951782
2000,0.2,1,opt,inf,-inf,,0.4094837100980996,0.4094837100980996,0.0,157,0.0,0.49201393127441406
2000,0.2,1,tree,,,,0.4094837100980995,,,157,0.0,6.830666542053223
2000,0.2,2,original,0.42571419936288907,0.42109515416702115,0.010850108365613936,0.4231013309066266,0.42238561362419363,0.0016915978044770574,145,721240.0,600.0092539787292
2000,0.2,2,opt,inf,-inf,,0.4231013307582081,0.4231013307582081,0.0,145,0.0,0.3967781066894531
2000,0.2,2,tree,,,,0.4231013307582082,,,145,0.0,9.139834642410278
2000,0.2,3,original,0.4127762452430464,0.4056811837457436,0.017188638103738715,0.4106235122407802,0.4099212776575535,0.0017101665206519852,156,696792.0,600.0080299377441
2000,0.2,3,opt,inf,-inf,,0.410623497916198,0.410623497916198,0.0,156,0.0,0.3754088878631592
2000,0.2,3,tree,,,,0.4106234979161979,,,156,0.0,8.82936716079712
2000,0.2,4,original,0.4097636375085519,0.40898897766950265,0.0018905041056334886,0.4096876446459132,0.409681160462172,1.5827140080747128e-05,140,234.0,6.95792293548584
2000,0.2,4,opt,inf,-inf,,0.4096876444564036,0.4096876444564036,0.0,140,0.0,0.5079500675201416
2000,0.2,4,tree,,,,0.40968764445640393,,,140,0.0,8.192192792892456
5000,0.2,0,original,0.43702050181411595,0.43634863444523164,0.0015373818072500394,0.4367053451169186,0.4366641554182909,9.431919963489479e-05,303,1168.0,44.75585198402405
5000,0.2,0,opt,inf,-inf,,0.4367053417634652,0.43670534176345405,2.5549816616454954e-14,303,1.0,2.1602389812469482
5000,0.2,0,tree,,,,0.4367053417634641,,,303,0.0,44.24460744857788
5000,0.2,1,original,0.44183316064230393,0.4365964708839806,0.011852188166932972,0.4369340340985768,0.43690759021233594,6.0521461312577865e-05,317,528.0,30.70494294166565
